"cohort","life_stage","policy","i","weight","choice","pension_class","formal","wage","solidarity_eligible","consumption_young","consumption_old","experienced_utility","baseline_utility","welfare_cev"
-1,"old_at_reform","Fully funded system",0.24,0.0095148556698428,"informal","informal",FALSE,0.201244337414915,TRUE,NA,0.299718460818834,-1.48608143075025,-2.90564554499646,0.563627684705196
-1,"old_at_reform","Fully funded system",0.25,0.010320745845168,"informal","informal",FALSE,0.207165870433765,TRUE,NA,0.306057534060774,-1.44015168150027,-2.781959635429,0.55105926535614
-1,"old_at_reform","Fully funded system",0.26,0.0111536921182913,"informal","informal",FALSE,0.213261642160366,TRUE,NA,0.312583131962206,-1.39529018899788,-2.66353871912676,0.538850095868148
-1,"old_at_reform","Fully funded system",0.27,0.0120094995825537,"informal","informal",FALSE,0.219536779498035,TRUE,NA,0.319300742935595,-1.35149036666005,-2.55015867877372,0.526989907610048
-1,"old_at_reform","Fully funded system",0.28,0.0128833813113884,"informal","informal",FALSE,0.225996560207141,FALSE,NA,0.241932071140865,-2.04914496328017,-2.44160493715557,0.123919331119232
-1,"old_at_reform","Fully funded system",0.29,0.0137699860614464,"informal","informal",FALSE,0.232646417344011,FALSE,NA,0.249050824224714,-1.96191809589598,-2.33767205106197,0.123919331119232
-1,"old_at_reform","Fully funded system",0.3,0.0146634387938913,"informal","informal",FALSE,0.23949194383045,FALSE,NA,0.256379043731223,-1.87840425347097,-2.23816332247533,0.123919331119231
-1,"old_at_reform","Fully funded system",0.31,0.0155573940198842,"informal","informal",FALSE,0.246538897157722,FALSE,NA,0.263922893124936,-1.79844538201605,-2.14289042631028,0.123919331119232
-1,"old_at_reform","Fully funded system",0.32,0.0164451016357299,"informal","informal",FALSE,0.253793204228934,FALSE,NA,0.271688717227841,-1.72189015549673,-2.05167305399933,0.123919331119232
-1,"old_at_reform","Fully funded system",0.33,0.0173194845593781,"informal","informal",FALSE,0.261260966343915,FALSE,NA,0.279683047555738,-1.64859368944133,-1.96433857225019,0.123919331119232
-1,"old_at_reform","Fully funded system",0.34,0.0181732271241403,"informal","informal",FALSE,0.268948464330765,FALSE,NA,0.287912607811635,-1.57841726674006,-1.88072169632891,0.123919331119231
-1,"old_at_reform","Fully funded system",0.35,0.0189988728395791,"informal","informal",FALSE,0.276862163828407,FALSE,NA,0.296384319540769,-1.51122807511622,-1.80066417725048,0.123919331119232
-1,"old_at_reform","Fully funded system",0.36,0.0197889298058682,"informal","informal",FALSE,0.285008720724565,FALSE,NA,0.305105307952044,-1.4468989557725,-1.72401450228504,0.123919331119232
-1,"old_at_reform","Fully funded system",0.37,0.0205359817787106,"informal","informal",FALSE,0.293394986753761,FALSE,NA,0.314082907910743,-1.38530816273681,-1.65062760821263,0.123919331119231
-1,"old_at_reform","Fully funded system",0.38,0.0212328026386743,"informal","informal",FALSE,0.302028015260027,FALSE,NA,0.323324670107586,-1.32633913245217,-1.58036460678408,0.123919331119231
-1,"old_at_reform","Fully funded system",0.39,0.0218724718319488,"informal","informal",FALSE,0.310915067129182,FALSE,NA,0.332838367409308,-1.26988026317448,-1.51309252186825,0.123919331119231
-1,"old_at_reform","Fully funded system",0.4,0.0224484882277816,"informal","informal",FALSE,0.320063616895666,FALSE,NA,0.342632001396091,-1.21582470376085,-1.44868403778826,0.123919331119232
-1,"old_at_reform","Fully funded system",0.41,0.0229548797878943,"informal","informal",FALSE,0.329481359029065,FALSE,NA,0.352713809091374,-1.16407015144865,-1.38701725837043,0.123919331119232
-1,"old_at_reform","Fully funded system",0.42,0.0233863064692461,"informal","informal",FALSE,0.33917621440561,FALSE,NA,0.363092269889666,-1.11451865824254,-1.32797547624985,0.123919331119232
-1,"old_at_reform","Fully funded system",0.43,0.0237381538851594,"informal","informal",FALSE,0.349156336970105,FALSE,NA,0.373776112688224,-1.06707644554319,-1.27144695199606,0.123919331119232
-1,"old_at_reform","Fully funded system",0.44,0.0240066154297712,"informal","informal",FALSE,0.359430120593873,FALSE,NA,0.384774323228566,-1.02165372666673,-1.21732470264077,0.123919331119232
-1,"old_at_reform","Fully funded system",0.45,0.0241887608228689,"informal","informal",FALSE,0.370006206134495,FALSE,NA,0.396096151654009,-0.978164536919078,-1.16550629920738,0.123919331119231
-1,"old_at_reform","Fully funded system",0.46,0.0242825893494975,"informal","informal",FALSE,0.380893488703284,FALSE,NA,0.407751120289588,-0.93652657090364,-1.11589367285923,0.123919331119232
-1,"old_at_reform","Fully funded system",0.47,0.0242870664418367,"informal","informal",FALSE,0.392101125146596,FALSE,NA,0.41974903165089,-0.896661026754327,-1.06839292929956,0.123919331119232
-1,"old_at_reform","Fully funded system",0.48,0.0242021426680683,"capitalization","funded_only",TRUE,0.507668689563975,FALSE,NA,0.707651246753391,-0.409622622546025,-0.488075092539093,0.123919331119231
-1,"old_at_reform","Fully funded system",0.49,0.0240287546408929,"capitalization","funded_only",TRUE,0.531779563375136,FALSE,NA,0.741259957047177,-0.382082404154726,-0.455260267624558,0.123919331119232
-1,"old_at_reform","Fully funded system",0.5,0.0237688078223462,"capitalization","funded_only",TRUE,0.557035542740151,FALSE,NA,0.776464856724921,-0.356393801341507,-0.424651686688936,0.123919331119232
-1,"old_at_reform","Fully funded system",0.51,0.0234251416663332,"capitalization","funded_only",TRUE,0.583491012528675,FALSE,NA,0.813341754126994,-0.332432324162233,-0.396101017004346,0.123919331119232
