"i","choice","formal","wage","labor_taxes","voluntary_saving","consumption_young","consumption_old","decision_utility","experienced_utility","funded_contribution","funded_public_contribution","payg_contribution","payg_notional_contribution","funded_benefit","payg_benefit","eligibility_probability","eligible_payg_benefit","refund_benefit","utility_informal","utility_capitalization","utility_payg","utility_difference_formal_informal","utility_difference_payg_capitalization"
0.062,"informal",FALSE,0.117616355921133,0,0.00882634120284284,0.0896749811927197,0.114695728747736,-25.9395307714116,-28.5922625627452,0,0,0,0,0,0,0,0,0,-25.9395307714116,-75.1685507863357,-85.8115002385975,-49.2290200149242,-10.6429494522618
0.064,"informal",FALSE,0.118300512922861,0,0.00887768272831588,0.0901966073371652,0.115362896891797,-25.7148356945471,-28.3445888214242,0,0,0,0,0,0,0,0,0,-25.7148356945471,-74.1294534552724,-84.6251274968626,-48.4146177607253,-10.4956740415902
0.066,"informal",FALSE,0.118988649565001,0,0.00892932289987309,0.0907212677039875,0.116033945854589,-25.4920869858729,-28.0990604955633,0,0,0,0,0,0,0,0,0,-25.4920869858729,-73.1047201534756,-83.4551538916892,-47.6126331676027,-10.3504337382136
0.068,"informal",FALSE,0.119680788996533,0,0.00898126345469473,0.0912489799428107,0.116708898210261,-25.2712677854331,-27.8556590010062,0,0,0,0,0,0,0,0,0,-25.2712677854331,-72.0941523188564,-82.3013527278454,-46.8228845334233,-10.2072004089889
0.07,"informal",FALSE,0.120376954501093,0,0.00903350614006596,0.0917797618059244,0.117387776664276,-25.0523613793169,-27.6143659145777,0,0,0,0,0,0,0,0,0,-25.0523613793169,-71.0975541341617,-81.1635004439067,-46.0451927548448,-10.065946309745
0.072,"informal",FALSE,0.121077169497755,0,0.00908605271343563,0.0923136311488805,0.118070604054168,-24.8353511983938,-27.3751629726887,0,0,0,0,0,0,0,0,0,-24.8353511983938,-70.1147324890306,-80.0413765689375,-45.2793812906368,-9.92664407990681
0.074,"informal",FALSE,0.121781457541816,0,0.00913890494247544,0.0928506059310939,0.118757403350315,-24.6202208170598,-27.1380320699545,0,0,0,0,0,0,0,0,0,-24.6202208170598,-69.1454969425764,-78.9347636797712,-44.5252761255166,-9.78926673719485
0.076,"informal",FALSE,0.122489842325594,0,0.00919206460513936,0.0933907042164471,0.119448197656709,-24.4069539519934,-26.9029552578238,0,0,0,0,0,0,0,0,0,-24.4069539519934,-68.1896596864836,-77.8433728312396,-43.7827057344902,-9.65371314475603
0.078,"informal",FALSE,0.123202347679219,0,0.00924553348972344,0.0939339441738973,0.120143010211738,-24.195534460924,-26.6699147432204,0,0,0,0,0,0,0,0,0,-24.195534460924,-67.2470355086176,-76.7670543595474,-43.0515010476936,-9.5200188509298
0.08,"informal",FALSE,0.123918997571439,0,0.009299313394926,0.0944803440780878,0.12084186438896,-23.9859463414092,-26.4388928871966,0,0,0,0,0,0,0,0,0,-23.9859463414092,-66.3174417571358,-75.7056104740626,-42.3314954157265,-9.38816871692688
