"cohort","life_stage","policy","mean_wage","wage_p10","wage_p50","wage_p90","wage_gini","aggregate_welfare_cev","mean_individual_welfare_cev","welfare_p10","welfare_p50","welfare_p90","winner_share","loser_share","informal_share","funded_only_share","payg_only_share","mixed_share","reported"
11,"young_lifetime","Law 2381 pillars",0.684872260666669,0.270370240658677,0.4971005310402,1.42373502100814,0.379396929703857,-0.0296189442210717,-0.078657140672753,-0.205257044197211,-0.0152003268091303,0.0150679083828378,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
12,"young_lifetime","Law 2381 pillars",0.685616368313033,0.270680853484271,0.497671621261426,1.42519314449296,0.379368883209234,-0.0296877534369566,-0.0787238223303636,-0.205279965439724,-0.0152660247269922,0.0149937117872196,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
13,"young_lifetime","Law 2381 pillars",0.686134237814091,0.270897297632392,0.498069573716214,1.42620651983109,0.379348951162028,-0.0297352590657189,-0.0787701057339383,-0.205297318025798,-0.015311193369421,0.0149425214421608,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
14,"young_lifetime","Law 2381 pillars",0.686493578439898,0.271047798014574,0.498346282497928,1.42690803253746,0.379334617335928,-0.0297677085962961,-0.0788020114890734,-0.205310900824187,-0.0153418127461006,0.0149075872633939,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
15,"young_lifetime","Law 2381 pillars",0.686741452956706,0.271151950043053,0.498537775572534,1.42739016813634,0.379324179970306,-0.0297895315932287,-0.0788237868088363,-0.205321898268573,-0.0153621492423717,0.014884129127412,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
16,"young_lifetime","Law 2381 pillars",0.686910825787229,0.271223439627326,0.498669215742203,1.42771791422951,0.379316517028082,-0.0298039262490712,-0.078838462333868,-0.205330976710617,-0.0153753171213914,0.0148686961412279,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
17,"young_lifetime","Law 2381 pillars",0.687025063303359,0.271271925833378,0.498758362087296,1.4279375574923,0.37931090514986,-0.0298133132500342,-0.078848295821512,-0.205338457970777,-0.0153837181445698,0.0148586871643162,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
18,"young_lifetime","Law 2381 pillars",0.68710116115716,0.271304324951889,0.498817930843746,1.42808334011087,0.379307000807076,-0.0298178178185653,-0.0788532533171289,-0.205343054903032,-0.0153872546896068,0.0148536162748947,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
19,"young_lifetime","Law 2381 pillars",0.687147078853317,0.271325658029041,0.498857153666329,1.42816191706921,0.379301685003787,-0.0298841546209708,-0.0789188209835474,-0.205398061847193,-0.0154584484574323,0.0147906706314129,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
20,"young_lifetime","Law 2381 pillars",0.687357097154037,0.271403999958346,0.499001192501983,1.42862255907221,0.379309294588637,-0.0298527193152993,-0.0788804847033315,-0.205315762892608,-0.0154260130364908,0.0148153707746552,0.121650279102335,0.878349720897665,0.784155899459634,0,0.0643386491373937,0.151505451402972,TRUE
