"cohort","life_stage","policy","i","weight","choice","pension_class","formal","wage","solidarity_eligible","consumption_young","consumption_old","experienced_utility","baseline_utility","welfare_cev"
-1,"old_at_reform","Law 2381 pillars",0.35,0.0189988728395791,"informal","informal",FALSE,0.271163294517532,FALSE,NA,0.271377153038566,-1.72485632226442,-1.79355480615723,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.36,0.0197889298058682,"informal","informal",FALSE,0.279142164495251,FALSE,NA,0.279362315716541,-1.65143359406558,-1.71720775896125,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.37,0.0205359817787106,"informal","informal",FALSE,0.287355809486434,FALSE,NA,0.287582438568134,-1.58113628387783,-1.64411061056709,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.38,0.0212328026386743,"informal","informal",FALSE,0.295811137650645,FALSE,NA,0.296044435201171,-1.51383135063905,-1.57412502108331,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.39,0.0218724718319488,"informal","informal",FALSE,0.304515260417243,FALSE,NA,0.304755422653584,-1.44939141650532,-1.50711853939429,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.4,0.0224484882277816,"informal","informal",FALSE,0.313475498466509,FALSE,NA,0.313722727379263,-1.38769452578222,-1.44296435249013,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.41,0.0229548797878943,"informal","informal",FALSE,0.322699387886776,FALSE,NA,0.32295389141003,-1.32862391411772,-1.38154104546684,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.42,0.0233863064692461,"informal","informal",FALSE,0.332194686512717,FALSE,NA,0.332456678698935,-1.27206778752007,-1.32273237174282,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.43,0.0237381538851594,"informal","informal",FALSE,0.341969380450147,FALSE,NA,0.3422390816502,-1.21791911078218,-1.26642703305653,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.44,0.0240066154297712,"informal","informal",FALSE,0.352031690792804,FALSE,NA,0.352309327841299,-1.16607540491239,-1.21251846882916,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.45,0.0241887608228689,"informal","informal",FALSE,0.362390080536777,FALSE,NA,0.362675886942835,-1.11643855318792,-1.16090465449357,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.46,0.0242825893494975,"informal","informal",FALSE,0.373053261698382,FALSE,NA,0.373347477842036,-1.06891461546434,-1.11148790840787,0.0263791428641946
-1,"old_at_reform","Law 2381 pillars",0.47,0.0242870664418367,"capitalization","funded_only",TRUE,0.482547399410297,FALSE,NA,0.630831277779403,-0.486679463367566,-0.506063188750111,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.48,0.0242021426680683,"capitalization","funded_only",TRUE,0.50546517963637,FALSE,NA,0.660791552358747,-0.453958470995625,-0.472038967501419,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.49,0.0240287546408929,"capitalization","funded_only",TRUE,0.529471401435503,FALSE,NA,0.692174739980751,-0.423437413945375,-0.440302301754321,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.5,0.0237688078223462,"capitalization","funded_only",TRUE,0.554617758516525,FALSE,NA,0.725048419516282,-0.394968383639823,-0.410699391951302,0.026379142864194
-1,"old_at_reform","Law 2381 pillars",0.51,0.0234251416663332,"capitalization","funded_only",TRUE,0.58095839969435,FALSE,NA,0.759483379381452,-0.368413415861213,-0.383086778963254,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.52,0.0230014779905107,"capitalization","funded_only",TRUE,0.608550045491129,FALSE,NA,0.795553769969589,-0.343643822160458,-0.357330648869921,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.53,0.0225023538900762,"capitalization","funded_only",TRUE,0.637452110275182,FALSE,NA,0.833337263322714,-0.320539566218011,-0.33330618448215,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.54,0.0219330408840984,"capitalization","funded_only",TRUE,0.667726830200698,FALSE,NA,0.872915220386344,-0.298988682133955,-0.310896960463333,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.55,0.0212994523083938,"capitalization","funded_only",TRUE,0.699439397223736,FALSE,NA,0.914372866207783,-0.278886731828291,-0.289994379118746,0.026379142864194
-1,"old_at_reform","Law 2381 pillars",0.56,0.0206080412279339,"capitalization","funded_only",TRUE,0.732658099483078,FALSE,NA,0.95779947345516,-0.260136298921905,-0.270497144118542,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.57,0.0198656913291574,"capitalization","funded_only",TRUE,0.767454468348241,FALSE,NA,1.0032885546524,-0.242646516645515,-0.252310769604008,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.58,0.0190796033639485,"capitalization","funded_only",TRUE,0.803903432451283,FALSE,NA,1.05093806354408,-0.226332627488784,-0.23534712229815,0.026379142864194
-1,"old_at_reform","Law 2381 pillars",0.59,0.0182571797508447,"capitalization","funded_only",TRUE,0.842083479034104,FALSE,NA,1.10085060602375,-0.211115572455605,-0.219523994401627,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.6,0.0174059098965294,"capitalization","funded_only",TRUE,0.882076822958648,FALSE,NA,1.15313366107994,-0.196921607935058,-0.204764705204234,0.026379142864194
-1,"old_at_reform","Law 2381 pillars",0.61,0.0165332586858387,"capitalization","funded_only",TRUE,0.923969583743979,FALSE,NA,1.20789981223569,-0.183681948331326,-0.190997729481303,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.62,0.0156465604078046,"capitalization","funded_only",TRUE,0.967851971011423,FALSE,NA,1.26526698997981,-0.171332432720733,-0.178156350874177,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.63,0.0147529201472209,"capitalization","funded_only",TRUE,1.01381847873713,FALSE,NA,1.32535872571208,-0.159813213920479,-0.166178338575013,0.0263791428641946
-1,"old_at_reform","Law 2381 pillars",0.64,0.0138591243861013,"capitalization","funded_only",TRUE,1.06196808873031,FALSE,NA,1.38830441774917,-0.149068468462259,-0.155005645749082,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.65,0.0129715622386452,"capitalization","funded_only",TRUE,1.11240448377537,FALSE,NA,1.45423960996395,-0.139046126065274,-0.14458412823308,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.66,0.0120961583990884,"capitalization","funded_only",TRUE,1.16523627089683,FALSE,NA,1.52330628365846,-0.129697617297618,-0.134863282146247,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.67,0.0112383185264294,"capitalization","funded_only",TRUE,1.22057721522789,FALSE,NA,1.59565316329877,-0.120977638203186,-0.125795999142712,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.68,0.0104028874355191,"capitalization","funded_only",TRUE,1.27854648498611,FALSE,NA,1.67143603677028,-0.112843930753459,-0.11733833811899,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.69,0.00959412012165592,"capitalization","funded_only",TRUE,1.3392689080839,FALSE,NA,1.75081809084301,-0.105257078060201,-0.109449312270312,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.7,0.00881566532576298,"capitalization","funded_only",TRUE,1.40287524092621,FALSE,NA,1.83397026256916,-0.0981803133566537,-0.102090690463814,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.71,0.00807056105809019,"capitalization","funded_only",TRUE,1.46950244997434,FALSE,NA,1.92107160736985,-0.0915793418215315,-0.0952268119660484,0.026379142864194
-1,"old_at_reform","Law 2381 pillars",0.72,0.00736124124713052,"capitalization","funded_only",TRUE,1.53929400668223,FALSE,NA,2.01230968460341,-0.0854221743823403,-0.0888244136269344,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.73,0.00668955247216793,"capitalization","funded_only",TRUE,1.6124001964401,FALSE,NA,2.10788096144564,-0.0796789726926315,-0.0828524686826826,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.74,0.00605677957576838,"capitalization","funded_only",TRUE,1.68897844219098,FALSE,NA,2.20799123595166,-0.0743219045319174,-0.0772820363965043,0.0263791428641944
